<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
VE4/0/0.20                    up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-CMI3
VE4/0/0.21                    up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-CMI3-2
VE4/0/0.22                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VoADSL-LPN
VE4/0/0.23                    down    down     INTERNAL-FULLMESH-SPOKE-1035-GW-LPN
VE4/0/0.24                    *down   down     INTERNAL-FULLMESH-SPOKE-1035-IPVI500059
VE4/0/0.25                    up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500075
VE4/0/0.27                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MANAGEMENT-CMI
VE4/0/0.28                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MEDIA-CMI
VE4/0/0.29                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MEDIA-LPN
VE4/0/0.30                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-SIGNALING-CMI
VE4/0/0.31                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-SIGNALING-LPN
VE4/0/0.32                    up      up       INTERNAL-HUBSPOKE-SPOKE-1082-RECTIFIER_CMI2
VE4/0/0.33                    down    down     INTERNAL-HUBSPOKE-SPOKE-1084-OLT-LPN
VE4/0/0.34                    down    down     INTERNAL-HUBSPOKE-SPOKE-1084-OSU-LPN
VE4/0/0.35                    down    down     INTERNAL-HUBSPOKE-SPOKE-1084-OTDR-LPN
VE4/0/0.36                    down    down     INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-CMI3
VE4/0/0.37                    down    down     INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-LPN
VE4/0/0.38                    up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500072
VE4/0/0.39                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500009
VE4/0/0.40                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500013
VE4/0/0.41                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151114
VE4/0/0.44                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500033
VE4/0/0.45                    down    down                                     
VE4/0/0.46                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500046
VE4/0/0.47                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500061
VE4/0/0.48                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151106
VE4/0/0.49                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151106
VE4/0/0.52                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151114
VE4/0/0.54                    down    down                                     
VE4/0/0.56                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500102
VE4/0/0.57                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151119
VE4/0/0.58                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151119
VE4/0/0.59                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500470
VE4/0/0.60                    down    down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500013
VE4/0/0.62                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500028
VE4/0/0.65                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151121
